Lattices initiated in 0.26 seconds
Specimen build in 0.11 seconds
         1405761 function calls (1404470 primitive calls) in 6.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
        3    0.000    0.000    0.000    0.000 _dtype.py:346(_name_get)
        3    0.000    0.000    0.000    0.000 program.py:247(_build_hooks)
       42    0.000    0.000    0.000    0.000 argparse.py:1399(_registry_get)
        2    0.000    0.000    0.000    0.000 glfw.py:673(glfwGetFramebufferSize)
        1    0.000    0.000    0.000    0.000 parser.py:35(set_default_options)
        2    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
        1    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:965(handle)
       18    0.000    0.000    0.000    0.000 argparse.py:846(__init__)
      8/7    0.000    0.000    0.016    0.002 <frozen importlib._bootstrap>:1209(_handle_fromlist)
        3    0.000    0.000    0.000    0.000 {built-in method posix.chdir}
       33    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       18    0.000    0.000    0.000    0.000 argparse.py:1599(_pop_action_class)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        5    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
       85    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        3    0.000    0.000    0.001    0.000 linear_scale.py:33(__init__)
        1    0.000    0.000    0.000    0.000 base_collection.py:127(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:674(format)
       10    0.000    0.000    0.000    0.000 argparse.py:931(__init__)
       17    0.000    0.000    0.000    0.000 _parser.py:295(checkgroupname)
        1    0.000    0.000    0.000    0.000 tokenize.py:299(detect_encoding)
       18    0.000    0.000    0.000    0.000 argparse.py:590(_metavar_formatter)
        1    0.000    0.000    0.000    0.000 tokenize.py:392(open)
        1    0.000    0.000    0.005    0.005 figure.py:29(add_axes)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
        1    0.000    0.000    0.000    0.000 window.py:132(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        3    0.000    0.000    0.000    0.000 viewport.py:133(on_attach)
        8    0.000    0.000    0.000    0.000 gpudata.py:38(__array_finalize__)
        3    0.000    0.000    0.000    0.000 <frozen posixpath>:411(realpath)
        4    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        1    0.000    0.000    0.005    0.005 agg_point_collection.py:21(__init__)
       72    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        2    0.000    0.000    0.000    0.000 viewport.py:66(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        4    0.000    0.000    0.000    0.000 __init__.py:1636(handle)
       18    0.000    0.000    0.000    0.000 argparse.py:1853(_add_action)
       57    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        4    0.000    0.000    0.000    0.000 __init__.py:942(format)
        2    0.000    0.000    0.000    0.000 subprocess.py:1963(_wait)
        9    0.000    0.000    0.000    0.000 parser.py:154(get_externs)
        4    0.000    0.000    0.000    0.000 program.py:137(hooks)
        2    0.000    0.000    0.000    0.000 argparse.py:1652(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 configuration.py:48(__init__)
        2    0.000    0.000    0.000    0.000 variable.py:355(set_data)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 backend_glfw_deprecated.py:192(Window)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
       18    0.000    0.000    0.000    0.000 argparse.py:1612(_check_conflict)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 warnings.py:96(_showwarnmsg)
       14    0.000    0.000    0.000    0.000 contextlib.py:344(__exit__)
       53    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        4    0.000    0.000    0.000    0.000 __init__.py:440(_format)
        4    0.000    0.000    0.000    0.000 __init__.py:1087(flush)
        1    0.000    0.000    0.000    0.000 linecache.py:80(updatecache)
        3    0.000    0.000    0.000    0.000 {built-in method posix.read}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        2    0.000    0.000    0.000    0.000 __init__.py:1479(info)
        1    0.000    0.000    0.000    0.000 glfw.py:196(glfwGetVersion)
        1    0.000    0.000    0.000    0.000 event.py:231(set_handlers)
        3    0.000    0.000    0.000    0.000 gettext.py:581(dgettext)
